id:ID(journal),name,:LABEL
6092eb62e87154c96f6642969984df334731d3ab,Coronaviruses,journal
19ec223414598012c79e1257098d10a983aaa920,Med Microbiol Immunol,journal
e87cf289d88c1d63bec4f294a695fe092262be30,Arch Virol,journal
dc8769707eace55e9b51f588da024ed6e4e23127,Encyclopedia of Respiratory Medicine,journal
2751758e49d5ec776e9ee34f2d1e63d3ccdaf4ee,BMC Evol Biol,journal
123fd4b8b4fee7db58bac5a81ea4158928940f25,J Med Virol,journal
ba9d1714ab24ba9735bd67dd59d00aee8d3b8c21,Textbook of Neurointensive Care,journal
9d39a3d2b17672af9b363dc5cf1770e5695361fa,J Thorac Cardiovasc Surg,journal
8f9354104e8ffb5212c386ca7fcc0d7eb017ed46,BMC Infect Dis,journal
f345b45c306c9917dd0c30ef4eb13e621141c69a,J Am Coll Cardiol,journal
c615590cdf594c7845b6e29051b392a25b702d75,Public Adm Rev,journal
6eab669434cc5bf1d914a7bc1d7603ad36847fc6,Animals (Basel),journal
b05207b4f0753788e23f89b974f2a65f3afaf624,J Ethnopharmacol,journal
6c29f6ecf30ebddc87b1936d07cdd0153f5285fa,PLoS One,journal
0cdc2fbce75895ea2be6e03f906fccef758c7d21,Chaos Solitons Fractals,journal
48400ebbba61ae82e0a842b9c34960847b12354f,Curr Cardiol Rep,journal
36233091cef6f7d0b497517ea57de695c595e685,Med Mal Infect,journal
f3c0aea0322716ee969cd5b06b002c9c0fdab773,Transfus Med,journal
49762f69a44bd7d47e31879468db9f7bd931f795,J Hepatol,journal
6f5d738ce3769b68f6f0af161a54c3ee34763414,Dysphagia,journal
f93a8a7e8826a72ada947a0570e973eb1e453fec,Animal Agriculture,journal
466a180af86cf1148650b1ead12064b1c73da0e8,Am J Infect Control,journal
17006c5ba456ade73665c0d7b68971a8b375c0d2,J Clin Neurosci,journal
7602e539e793e7f3b7158f9bc5bed8d2ecf2ea19,Computer Aided Verification,journal
8438c6ccbecda514135870ca550bbf5f8e7022e4,Genes (Basel),journal
63c43d5f90e1dda5d372342cc58ad00780f77b58,Comp Immunol Microbiol Infect Dis,journal
8645c5bd3f8f774c2209aa300b5298c9eb1161f0,Mol Hum Reprod,journal
8bcd1a07fbfc249edc2f5ae487ec94ce967a9068,PLoS Negl Trop Dis,journal
f2de9903518da76e0d097e2b7e5ff32719e77211,Br J Anaesth,journal
277287ffe8923311c9f640a031e3831762ca61ae,medRxiv,journal
ea6afd744590b770fa4b12b26cd5d88fbfb9f9e9,Emerg Microbes Infect,journal
2d8708d623928d45fa72ab88ea901a44796f4e91,Virology,journal
34132e2ead1ab1afbbbf2f99006f508a07981579,Fused Deposition Modeling,journal
29e14eeaadee5f803e5b3dddf8971ee9945da9e6,J Infect Dis,journal
4e1ece1ff0abbe2ed5ba9a0697c12a211e76dd16,Veterinary Anaesthesia and Analgesia,journal
d48cf56a1faff047827c3acbcbf861943424fb91,Infection control and hospital epidemiology,journal
782b6a76bf363f0f959fef2b833f90739a5dfd4b,Occup Med (Lond),journal
a2bd6052f43beb474679ef1bc0292346747b299e,Eur Surg,journal
2b3895055f9b8bcd73f2943dc01632fa0f29e2e5,Eur J Med Chem,journal
bc1480b8bd39bb18eb7f667897f39238a182ef31,Transactions on Computational Systems Biology II,journal
ce2c3fcd32de76af7c6f7358a6b6eec0dd5ef8b7,Journal of Functional Foods,journal
a19e3a03a135630be4c9f63312d4d1fb9f3b8961,Neth Heart J,journal
1f08f6c1777fbf224008b8509937b4507a9bc42e,J Med Humanit,journal
95373c0e63e49e345b1a7729bbfc6fde17780114,Crit Care,journal
44070737f16da439a54001894b90161e88f3c79d,"Infection, Genetics and Evolution",journal
2d21ff0594e9e5c40628bd43fa98d306e110c61d,Pathogens,journal
68a884504f78310b8f5310ab81ecb0ed163eb62e,J Child Psychol Psychiatry,journal
4b7b06e541155450945f022c43088450bc71a085,J Am Acad Dermatol,journal
995a24adc3bb044eac61d875bc0725e3bde0118f,Int J Ment Health Syst,journal
50e65694bad5fd642cf9cd1b2e646f48a90784a7,International Journal of Dermatology and Venereology,journal
3f2cec96b81850b99216a1630eaf0f1c95c97ecc,Acta Vet Scand,journal
e8dc207e3d6c24d207ff16140161ffc66946abd4,J Virol,journal
09b5cf91ee4302365c31122fc3cc27248c3edf9d,Eur J Pediatr,journal
6926bf72916fb59ae3691c9dd0a0282cfbacf313,Virus Genes,journal
d3b88862b617737d778bdc5fad3e40bdaf6f44ed,Antiviral Res,journal
9d30cd5da4161acacd05cec695e1b483394cec36,Colloids Surf B Biointerfaces,journal
e964ad538e6b93020b9d3d6ed57d23488c57c3fa,Eur J Public Health,journal
c0706ff752983441bdec72718d7c13d959797495,Curr Obstet Gynaecol,journal
b0c58c871cf5a1e5ee45118309726ba571704971,The Semantic Web,journal
820a12e74974d1ffb48f8b1187a28cf94b2e776d,Pediatr Pulmonol,journal
735fba47afe27df763e66e0572188caed6b23ec2,Diagn Microbiol Infect Dis,journal
49c5a767ff82d4b863feac3c21f420fcb1460a29,bioRxiv,journal
08d79469c7e1ca32ff4f71a56759272415138766,Advances in Veterinary Science and Comparative Medicine,journal
6b2e94a1827d79c04c4432262a8f9acec98bf79a,J Occup Environ Hyg,journal
e90f5ea9f2346de2d28fbdd3e5585c6c691eb601,Internist (Berl),journal
a03504871d2621e271feca839f61565b8933e05c,Journal of Virological Methods,journal
7fafca318745c8b4df6624d3377bdb4bd84fa851,Cell Mol Life Sci,journal
bd9d46aca5e78fa07a3f137ec574993dd08c2a61,Clin Nucl Med,journal
37776ff464498be8c0df4f694e9ef6f133bd7b7f,Med Hypotheses,journal
ef6fb6fcd4f0feb6d4420ca009cb813154cf42ad,Wellcome Open Res,journal
b3811f513f5aa6c07c5d97b45c637ecdf4efda0d,Journal of Leukocyte Biology,journal
ca8499acb09af173f8460930309330e1376e4033,Sci Total Environ,journal
8ab0a170157bf8dc43f575acd0a355aced0cc726,Inflamm Intest Dis,journal
1bfab4a1b27e407ebd255cffb1004461f6cfb0ca,The City in Need,journal
61fc835ddabaaded09a12b73aae4ca00d1dc5afc,J Diabetes Res,journal
70b2cd6ab1fdf8b3fd9dc7f3b700c5ab02f7e346,Emerg Infect Dis,journal
1e435abcceb7d6feafdfec577c73869e3b9a1483,Sci Rep,journal
e98598caa8b1d3af78fe9bb229f6db0dd682e7e2,Pulmonary Involvement in Patients with Hematological Malignancies,journal
